	ds	y
223	2017-08-12	32465.43
224	2017-08-13	36215.43165273453
225	2017-08-14	29630.79
226	2017-08-15	11794.41
227	2017-08-16	24316.94
228	2017-08-17	22065.76
229	2017-08-18	28746.9
230	2017-08-19	30373.55
231	2017-08-20	31337.826676151242
232	2017-08-21	30673.6
233	2017-08-22	24786.17
234	2017-08-23	21553.87
235	2017-08-24	34498.17
236	2017-08-25	29151.82
237	2017-08-26	35819.2
238	2017-08-27	36707.72778146238
239	2017-08-28	30504.0
240	2017-08-29	24821.47
241	2017-08-30	25851.99
242	2017-08-31	30900.84
243	2017-09-01	28576.75
244	2017-09-02	51070.32
245	2017-09-03	1304.14
246	2017-09-04	31919.29
247	2017-09-05	19420.44
248	2017-09-06	29433.33
249	2017-09-07	24844.33
250	2017-09-08	28061.11
251	2017-09-09	60050.3
252	2017-09-10	51201.45245450379
253	2017-09-11	24985.52
254	2017-09-12	21704.32
255	2017-09-13	26213.35
256	2017-09-14	20794.27
257	2017-09-15	27063.09
258	2017-09-16	60906.8
259	2017-09-17	54082.38198233031
260	2017-09-18	27140.38
261	2017-09-19	20149.08
262	2017-09-20	27036.24
263	2017-09-21	20535.39
264	2017-09-22	22562.18
265	2017-09-23	51324.77
266	2017-09-24	43475.35901234522
267	2017-09-25	19549.28
268	2017-09-26	16377.46
269	2017-09-27	23486.91
270	2017-09-28	20473.55
271	2017-09-29	19753.89
272	2017-09-30	47480.81
273	2017-10-01	30.0
274	2017-10-02	20796.62
275	2017-10-03	21597.63
276	2017-10-04	23922.38
277	2017-10-05	19560.87
278	2017-10-06	26470.64
279	2017-10-07	53405.29
280	2017-10-08	45718.651076799884
281	2017-10-09	22688.26
282	2017-10-10	16982.25
283	2017-10-11	19750.12
284	2017-10-12	18117.79
285	2017-10-13	21575.28
286	2017-10-14	44712.56
287	2017-10-15	37225.52984538375
288	2017-10-16	18228.6
289	2017-10-17	18066.68
290	2017-10-18	21624.58
291	2017-10-19	17103.44
292	2017-10-20	20251.03
293	2017-10-21	48696.13
294	2017-10-22	47469.11517819397
295	2017-10-23	26488.58
296	2017-10-24	15289.36
297	2017-10-25	21295.56
298	2017-10-26	19792.96
299	2017-10-27	24589.4
300	2017-10-28	41665.6
301	2017-10-29	41163.54499870592
302	2017-10-30	28914.8
303	2017-10-31	21036.67
304	2017-11-01	23057.03
305	2017-11-02	23757.3
306	2017-11-03	27038.21
307	2017-11-04	43329.34
308	2017-11-05	34161.04341941995
309	2017-11-06	18255.79
310	2017-11-07	21637.23
311	2017-11-08	27236.8
312	2017-11-09	22735.55
313	2017-11-10	22738.69
314	2017-11-11	50587.97
315	2017-11-12	42889.95751217178
316	2017-11-13	19901.64
317	2017-11-14	16314.18
318	2017-11-15	16102.43
319	2017-11-16	15566.08
320	2017-11-17	23616.18
321	2017-11-18	41690.39
322	2017-11-19	35844.76328454797
323	2017-11-20	18904.63
324	2017-11-21	13247.22
325	2017-11-22	15254.65
326	2017-11-23	13602.08
327	2017-11-24	39222.53
328	2017-11-25	52388.73
329	2017-11-26	30.0
330	2017-11-27	13440.02
331	2017-11-28	11700.16
332	2017-11-29	19542.76
333	2017-11-30	14424.62
334	2017-12-01	19419.42
335	2017-12-02	38347.13
336	2017-12-03	30.0
337	2017-12-04	19669.32
338	2017-12-05	14487.43
